form_name,category,file_type,source_url,description,notes
,Uncategorized,HTML page,https://mise.ax/,,
Avgifter,Uncategorized,HTML page,https://mise.ax/avgifter,,
1,Uncategorized,HTML page,https://mise.ax/node/1,,
Egnahemshus,Own home,HTML page,https://mise.ax/egnahemshus,,
Flerbostadshus,Apartment building,HTML page,https://mise.ax/flerbostadshus,,
Fritidsbostad,Holiday home,HTML page,https://mise.ax/fritidsbostad,,
Skargarden,Holiday home,HTML page,https://mise.ax/skargarden,,
Verksamheter,Operation,HTML page,https://mise.ax/verksamheter,,
Misebilen mobil avc,Uncategorized,HTML page,https://mise.ax/misebilen-mobil-avc,,
Atervinningscentralen mise avc,Uncategorized,HTML page,https://mise.ax/atervinningscentralen-mise-avc,,
Kontakta mise,Uncategorized,HTML page,https://mise.ax/kontakta-mise,,
Sorteringsguide,Uncategorized,HTML page,https://mise.ax/sorteringsguide,,
Vi ar mise,Uncategorized,HTML page,https://mise.ax/vi-ar-mise,,
Avfallshanteringssystemet,Uncategorized,HTML page,https://mise.ax/vi-ar-mise/avfallshanteringssystemet,,
Andrad sortering b karlet,Uncategorized,HTML page,https://mise.ax/avfallshanteringssystemet/andrad-sortering-b-karlet,,
Ekonomi,Uncategorized,HTML page,https://mise.ax/vi-ar-mise/ekonomi,,
Din faktura,Uncategorized,HTML page,https://mise.ax/din-faktura,,
Styrande dokument,Uncategorized,HTML page,https://mise.ax/vi-ar-mise/styrande-dokument,,
Blanketter,Uncategorized,HTML page,https://mise.ax/blanketter,,
Trafikinformation,Uncategorized,HTML page,https://mise.ax/trafikinformation,,
Nyheter,Uncategorized,HTML page,https://mise.ax/nyheter,,
Kom och jobba oss administrator,Uncategorized,HTML page,https://mise.ax/nyheter/kom-och-jobba-oss-administrator,,
Mise soker driven ekonomiansvarig,Uncategorized,HTML page,https://mise.ax/nyheter/mise-soker-driven-ekonomiansvarig,,
Tillfallig andring vid smarket,Uncategorized,HTML page,https://mise.ax/nyheter/tillfallig-andring-vid-smarket,,
Sekretesspolicy,Uncategorized,HTML page,https://mise.ax/sekretesspolicy,,
Lamna synpunkter pa sidan,Uncategorized,HTML page,https://mise.ax/lamna-synpunkter-pa-sidan,,
5,Uncategorized,HTML page,https://mise.ax/node/5,,
Avfallstaxa 2026 version 4,Uncategorized,PDF,https://mise.ax/sites/default/files/2026-07/avfallstaxa-2026-version-4.pdf,,
Forenklad version av avfallstaxan 2.0 2026.pdf 1 0,Uncategorized,PDF,https://mise.ax/sites/default/files/2026-07/forenklad-version-av-avfallstaxan-2.0-2026.pdf-1_0.pdf,,
Avfallstaxan,Uncategorized,HTML page,https://mise.ax/avfallstaxan,,
F95966b59a,Uncategorized,Dynamic e-form,https://e-tjanster.ax/e-form/sv/f95966b59a,,
Avfallstaxa 2026 godkand av stamman 17.12.2025,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-12/avfallstaxa-2026-godkand-av-stamman-17.12.2025.pdf,,
Avfallstaxa 2025 0,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/avfallstaxa-2025_0.pdf,,
Avfallstaxa 2024 med moms 255 fr.o.m 1.9.2024,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/avfallstaxa-2024-med-moms-255-fr.o.m-1.9.2024.pdf,,
Avfallstaxa 2024 med 24 moms,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/avfallstaxa_2024-med-24-moms.pdf,,
Avfallstaxa 2023,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/avfallstaxa-2023.pdf,,
Avfallstaxa 2022,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/avfallstaxa-2022.pdf,,
